id,name,inn,oou,subject_id,type_id,slug
26,"АО ""Газпром газораспределение Екатеринбург""",6660004997,OU104,,,oao_gazprom_ghazoraspriedielieniie_iekatierinburgh
27,"АО ""Газпром газораспределение Иваново""",3730006498,OU175,,,oao_gazprom_ghazoraspriedielieniie_ivanovo
28,"АО ""Газпром газораспределение Ижевск""",1826000260,OU100,,,ao_gazprom_ghazoraspriedielieniie_izhievsk
29,"АО ""Газпром газораспределение Калуга""",4000000015,OU212,,,ao_gazprom_ghazoraspriedielieniie_kalugha
30,"АО ""Газпром газораспределение Киров""",4346006589,OU081,,,ao_gazprom_ghazoraspriedielieniie_kirov
31,"АО ""Газпром газораспределение Кострома""",4400000193,OU176,,,ao_gazprom_ghazoraspriedielieniie_kostroma
32,"АО ""Газпром газораспределение Краснодар""",2308021656,OU056,,,ao_gazprom_ghazoraspriedielieniie_krasnodar
33,"АО ""Газпром газораспределение Курган""",4501126386,OU165,,,ao_gazprom_ghazoraspriedielieniie_kurghan
34,"АО ""Газпром газораспределение Курск""",4629015425,OU167,,,ao_gazprom_ghazoraspriedielieniie_kursk
35,"АО ""Газпром газораспределение Ленинградская область""",4700000109,OU074,,,ao_gazprom_ghazoraspriedielieniie_lieninghradskaia_oblast
36,"АО ""Газпром газораспределение Липецк""",4824003938,OU140,,,ao_gazprom_ghazoraspriedielieniie_lipietsk
37,"АО ""Газпром газораспределение Майкоп""",105018196,OU077,,,ao_gazprom_ghazoraspriedielieniie_maikop
38,"АО ""Газпром газораспределение Махачкала""",541000826,OU028,,,ao_gazprom_ghazoraspriedielieniie_makhachkala
39,"АО ""Газпром газораспределение Назрань""",608005612,OU020,,,ao_gazprom_ghazoraspriedielieniie_nazran
40,"АО ""Газпром газораспределение Нальчик""",711009650,OU240,,,ao_gazprom_ghazoraspriedielieniie_nalchik
41,"АО ""Газпром газораспределение Обнинск""",4025001613,OU118,,,ao_gazprom_ghazoraspriedielieniie_obninsk
42,"АО ""Газпром газораспределение Орел""",5700000020,OU091,,,ao_gazprom_ghazoraspriedielieniie_oriel
43,"АО ""Газпром газораспределение Оренбург""",5610010369,OU190,,,ao_gazprom_ghazoraspriedielieniie_orienburgh
44,"АО ""Газпром газораспределение Пенза""",5836611971,OU089,,,ao_gazprom_ghazoraspriedielieniie_pienza
45,"АО ""Газпром газораспределение Пермь""",5902183841,OU138,,,ao_gazprom_ghazoraspriedielieniie_pierm
46,"АО ""Газпром газораспределение Петрозаводск""",1001009551,OU173,,,ao_gazprom_ghazoraspriedielieniie_pietrozavodsk
47,"АО ""Газпром газораспределение Псков""",6027015076,OU258,,,ghazoraspriedielieniie_pskov
48,"АО ""Газпром газораспределение Рязанская область""",6230006061,OU095,,,ao_gazprom_ghazoraspriedielieniie_riazanskaia_oblast
49,"АО ""Газпром газораспределение Саранск""",1300020747,OU142,,,ao_gazprom_ghazoraspriedielieniie_saransk
50,"АО ""Газпром газораспределение Саратовская область""",6454002828,OU079,,,ao_gazprom_ghazoraspriedielieniie_saratovskaia_oblast
51,"АО ""Газпром газораспределение Север""",7203058440,OU065,,,ao_gazprom_ghazoraspriedielieniie_sievier
52,"АО ""Газпром газораспределение Смоленск""",6731011930,OU094,,,ao_gazprom_ghazoraspriedielieniie_smoliensk
53,"АО ""Газпром газораспределение Ставрополь""",2635014240,OU162,,,ao_gazprom_ghazoraspriedielieniie_stavropol
54,"АО ""Газпром газораспределение Сыктывкар""",1101300468,OU146,,,ao_gazprom_ghazoraspriedielieniie_syktyvkar
55,"АО ""Газпром газораспределение Тамбов""",6832003117,OU125,,,ao_gazprom_ghazoraspriedielieniie_tambov
56,"АО ""Газпром газораспределение Тверь""",6900000364,OU154,,,ao_gazprom_ghazoraspriedielieniie_tvier
57,"АО ""Газпром газораспределение Тула""",7107029245,OU204,,,ao_gazprom_ghazoraspriedielieniie_tula
58,"АО ""Газпром газораспределение Чебоксары""",2128049998,OU182,,,ao_gazprom_ghazoraspriedielieniie_chieboksary
59,"АО ""Газпром газораспределение Челябинск""",7453128989,OU224,,,ao_gazprom_ghazoraspriedielieniie_chieliabinsk
60,"АО ""Газпром газораспределение Черкесск""",900000116,OU127,,,ao_gazprom_ghazoraspriedielieniie_chierkiessk
61,"АО ""Газпром газораспределение Элиста""",814042970,OU075,,,ao_gazprom_ghazoraspriedielieniie_elista
62,"АО ""Газпром газораспределение Ярославль""",7604012347,OU166,,,ao_gazprom_ghazoraspriedielieniie_iaroslavl
63,"АО ""Газпром межрегионгаз Казань""",1660031631,OU185,,,
64,"АО ""Газпром межрегионгаз Нижний Новгород""",5260070633,OU071,,,
65,"АО ""Газпром теплоэнерго""",5003046281,OU183,,,
66,"АО ""Газпром теплоэнерго Тольятти""",6322036965,OU180,,,
67,"АО ""Газпром энергосбыт Тюмень""",8602067215,OU213,,,
68,"АО ""Гатчинагаз""",4705006873,OU018,,,
69,"АО ""Геленджикгоргаз""",2304013171,OU259,,,
70,"АО ""Георгиевскмежрайгаз""",2625005937,OU038,,,
71,"АО ""Газовая компания Югра""",8601037610,OU196,,,ao_gazovaia_kompaniia_iughra
72,"АО ""Горячий Ключгоргаз""",2305009146,OU260,,,
73,"АО ""Грачевскрайгаз""",2606004367,OU051,,,
74,"АО ""Гулькевичирайгаз""",2329004965,OU261,,,
75,"АО ""Динскаярайгаз""",2330016588,OU179,,,
76,"АО ""Ейскгоргаз""",2306007166,OU005,,,
77,"АО ""Ессентукигоргаз""",2626019428,OU039,,,
78,"АО ""Железноводскгоргаз""",2627009599,OU161,,,
79,"АО ""Зеленокумскрайгаз""",2619004357,OU042,,,
80,"АО ""Ивановогоргаз""",3731019771,OU208,,,
81,"АО ""Изобильненскрайгаз""",2607007970,OU158,,,
82,"АО ""Ипатоворайгаз""",2608004309,OU036,,,
83,"АО ""Иркутскоблгаз""","""",OU228,,,
84,"АО ""Калининскаярайгаз""",2333004950,OU262,,,
85,"АО ""Каневскаярайгаз""",2334007721,OU263,,,
86,"АО ""Карелгаз""",1001000598,OU086,,,
87,"АО ""Кемеровогоргаз""",4205001362,OU021,,,
88,"АО ""Кисловодскгоргаз""",2628010558,OU022,,,
89,"АО ""Копейскмежрайгаз""",7411006668,OU264,,,
90,"АО ""Кореновскрайгаз""",2335006784,OU265,,,
91,"АО ""Коркиномежрайгаз""",7412003370,OU054,,,
92,"АО ""Кочубеевскрайгаз""",2610000044,OU040,,,
93,"АО ""Красноармейскаярайгаз""",2336005991,OU247,,,
94,"АО ""Красногвардейскрайгаз""",2611002728,OU046,,,
95,"АО ""Краснодаркрайремстройгазкомплект""",106000307,OU291,,,
96,"АО ""Кропоткингоргаз""",2313003564,OU097,,,
97,"АО ""Крыловскаярайгаз""",2338003728,OU266,,,
98,"АО ""Крымскрайгаз""",2337006885,OU250,,,
99,"АО ""Кузбассгазификация""",,OU237,,,
100,"АО ""Кургангоргаз""",4501004589,OU267,,,
101,"АО ""Курганинскрайгаз""",2339006023,OU002,,,
102,"АО ""Курскаямежстройгаз""",2612005320,OU252,,,
103,"АО ""Кущевскаярайгаз""",2340004983,OU268,,,
104,"АО ""Лабинскрайгаз""",2314004560,OU269,,,
105,"АО ""Левокумскрайгаз""",2613001670,OU270,,,
106,"АО ""Ленинградскаярайгаз""",2341000371,OU271,,,
107,"АО ""Мегионгазсервис""",,OU296,,,oao_mieghionghazsiervis
108,"АО ""Метан""",5835013048,OU272,,,
109,"АО ""Минераловодская газовая компания""",2630011414,OU225,,,
110,"АО ""Мособлэнергогаз""","""",OU119,,,
111,"АО ""Мостовскойрайгаз""",2342003142,OU273,,,
112,"АО ""Нефтекумскрайгаз""",2614003568,OU047,,,
113,"АО ""Новоалександровскрайгаз""",2615000552,OU048,,,
114,"АО ""Новоаннинскмежрайгаз""",3419003809,OU274,,,
115,"АО ""Новокубанскрайгаз""",2343006266,OU001,,,
116,"АО ""Новопавловскрайгаз""",2609008514,OU037,,,
117,"АО ""Новопокровскаярайгаз""",2344006170,OU025,,,
118,"АО ""Новоселицкрайгаз""",2616000139,OU041,,,
119,"АО ""Новочеркасскгоргаз""",6150009405,OU169,,,
120,"АО ""Омскоблгаз""",5503002042,OU157,,,omskoblgaz
121,"АО ""Отраднаярайгаз""",2345002644,OU275,,,
122,"АО ""Подземметаллозащита""",106002061,OU276,,,
123,"АО ""Предгорныйрайгаз""",2618004442,OU277,,,
124,"АО ""Приморско-Ахтарскрайгаз""",2347004654,OU007,,,
125,"АО ""Пятигорскгоргаз""",2632011466,OU253,,,
126,"АО ""Ростовгоргаз""",6152000158,OU120,,,
127,"АО ""Рязаньгоргаз""",6227003840,OU085,,,ryazangorgas
128,"АО ""Саратовгаз""",6451114530,OU222,,,ao_saratovghaz
129,"АО ""Светлоградрайгаз""",2617003566,OU217,,,
130,"АО ""Северскаярайгаз""",2348005643,OU223,,,
131,"АО ""Сжиженный газ Север""","""",OU295,,,
132,"АО ""Сибирьгазсервис""",5407121939,OU130,,,
133,"АО ""Сочигоргаз""",2320032774,OU189,,,ao_sochigorgaz
134,"АО ""Ставропольгоргаз""",2633001380,OU251,,,
135,"АО ""Староминскаярайгаз""",2350004911,OU246,,,
136,"АО ""Степновскрайгаз""",2620001840,OU043,,,
137,"АО ""Строительное управление Север""",7215003283,OU195,,,
138,"АО ""Суровикиномежрайгаз""",3430005863,OU278,,,
139,"АО ""Таганрогмежрайгаз""",6154027476,OU108,,,
140,"АО ""Тбилисcкаярайгаз""",2351007545,OU279,,,
141,"АО ""Темрюкрайгаз""",2352017666,OU249,,,
142,"АО ""Тимашевскрайгаз""",2353007519,OU280,,,
143,"АО ""Тихорецкгоргаз""",2321004522,OU281,,,
144,"АО ""Томскоблгаз""",7000000331,OU282,,,
145,"АО ""Торгово-сервисный центр Север""",7205003326,OU198,,,
146,"АО ""Труновскрайгаз""",2621003625,OU064,,,
147,"АО ""Тулагоргаз""",7102000154,OU192,,,ao_tulaghorghaz
148,"АО ""Туркменскрайгаз""",2622003057,OU050,,,
149,"АО ""Урюпинскмежрайгаз""",3438000514,OU283,,,
150,"АО ""Успенскаярайгаз""",2357002166,OU284,,,
151,"АО ""Чебаркульмежрайгаз""",7420002540,OU055,,,
152,"АО ""Челябинскгазсервис""",7447055958,OU285,,,
153,"АО ""Челябинскгоргаз""",7451046106,OU066,,,ao_chieliabinskghorghaz
154,"АО ""Шахтымежрайгаз""",6155020265,OU060,,,
155,"АО ""Щербиновскаярайгаз""",2358000115,OU286,,,
156,"АО ""Юграгаз""",8615001194,OU199,,,
157,"АО ""Яргазсервис""",7603001303,OU287,,,
158,"ЗАО ""Пермгазтехнология""",5904006929,OU139,,,
159,"ОАО ""Белоярскгаз""",8611000859,OU197,,,
160,"АО ""Газпром газораспределение Воронеж""",3664000885,OU111,,,
161,"ОАО ""Капьяргаз""",,OU243,,,
162,"ОАО ""Рыбинскгазсервис""",7610017671,OU014,,,oao_rybinskghazsiervis
163,"ООО ""АНТ - Цифровые Сервисы""",,OU226,,,
164,"ООО ""Башкиргазинвест""",276056593,OU230,,,
165,"ООО ""Волжскийрайгаз""",3435057015,OU288,,,
166,"ООО ""ГазИнвест-1""",7802769643,OU233,,,
167,"ООО ""ГазификацияСпецПроект""",7802614946,OU297,,,
168,"ООО ""Газорасчет-1""",6450925504,OU289,,,
169,"ООО ""Газпром газораспределение Архангельск""",2901249290,OU143,,,ooo_gazprom_ghazoraspriedielieniie_arkhanghielsk
170,"ООО ""Газпром газораспределение Барнаул""",2225184544,OU174,,,ooo_gazprom_ghazoraspriedielieniie_barnaul
171,"ООО ""Газпром газораспределение Владикавказ""",1516609782,OU083,,,ooo_gazprom_ghazoraspriedielieniie_vladikavkaz
172,"ООО ""Газпром газораспределение Волгоград""",3455052505,OU045,,,ooo_gazprom_ghazoraspriedielieniie_volghoghrad
173,"ООО ""Газпром газораспределение Дагестан""",561049072,OU096,,,ooo_gazprom_ghazoraspriedielieniie_daghiestan
174,"ООО ""Газпром газораспределение Йошкар-Ола""",1215058620,OU153,,,ooo_gazprom_ghazoraspriedielieniie_ioshkar-ola
176,"ООО ""Газпром газораспределение Москва""",7751523230,OU136,,,ooo_gazprom_ghazoraspriedielieniie_moskva
177,"АО ""Газпром газораспределение Самара""",6345009196,OU135,,,ooo_gazprom_ghazoraspriedielieniie_samara
178,"ООО ""Газпром газораспределение Томск""",7017203428,OU010,,,ooo_gazprom_ghazoraspriedielieniie_tomsk
179,"ООО ""Газпром газораспределение Ульяновск""",7303022447,OU218,,,ooo_gazprom_ghazoraspriedielieniie_ulianovsk
180,"ООО ""Газпром газэнергосеть""",,OU214,,,
181,"ООО ""Газпром газэнергосеть гелий""",,OU235,,,
182,"ООО ""Газпром инвестгазификация""",7810170130,OU215,,,
183,"ООО ""Газпром межрегионгаз""",,MRG,,,
184,"ООО ""Газпром межрегионгаз Астрахань""",3015108355,OU087,,,
185,"ООО ""Газпром межрегионгаз Белгород""",3123050159,OU131,,,
186,"ООО ""Газпром межрегионгаз Брянск""",3201005558,OU069,,,
187,"ООО ""Газпром межрегионгаз Великий Новгород""",5321073497,OU430,,,
188,"ООО ""Газпром межрегионгаз Владикавказ""",1513061265,OU026,,,
189,"ООО ""Газпром межрегионгаз Владимир""",3328415442,OU107,,,
190,"ООО ""Газпром межрегионгаз Волгоград""",3445045202,OU181,,,
191,"ООО ""Газпром межрегионгаз Вологда""",3525104171,OU102,,,
192,"ООО ""Газпром межрегионгаз Воронеж""",3650004897,OU105,,,
193,"ООО ""Газпром межрегионгаз Грозный""",2013006003,OU070,,,
194,"ООО ""Газпром межрегионгаз Дальний Восток""",2722038529,OU090,,,
195,"ООО ""Газпром межрегионгаз Иваново""",3702232505,OU193,,,
196,"ООО ""Газпром межрегионгаз Ижевск""",1834021673,OU187,,,
197,"ООО ""Газпром межрегионгаз инжиниринг""","""",OU206,,,
198,"ООО ""Газпром межрегионгаз Йошкар-Ола""",1215068716,OU152,,,
199,"ООО ""Газпром межрегионгаз Калуга""",4029019805,OU112,,,
200,"ООО ""Газпром межрегионгаз Кемерово""",4207059960,OU123,,,
201,"ООО ""Газпром межрегионгаз Киров""",4345010511,OU114,,,
202,"ООО ""Газпром межрегионгаз Краснодар""",2308070396,OU147,,,
203,"ООО ""Газпром межрегионгаз Курган""",4501090309,OU170,,,
204,"ООО ""Газпром межрегионгаз Курск""",4629051286,OU156,,,
205,"ООО ""Газпром межрегионгаз Липецк""",4825024049,OU015,,,
206,"ООО ""Газпром межрегионгаз Майкоп""",105030468,OU030,,,
207,"ООО ""Газпром межрегионгаз Махачкала""",571008854,OU073,,,
208,"ООО ""Газпром межрегионгаз Москва""",5009033419,OU141,,,
209,"ООО ""Газпром межрегионгаз Назрань""",608042967,OU137,,,
210,"ООО ""Газпром межрегионгаз Нальчик""",726016152,OU057,,,
211,"ООО ""Газпром межрегионгаз Новосибирск""",5407208153,OU004,,,
212,"ООО ""Газпром межрегионгаз Омск""",5501174543,OU029,,,
213,"ООО ""Газпром межрегионгаз Орел""",5753028484,OU088,,,
214,"ООО ""Газпром межрегионгаз Оренбург""",5609032431,OU186,,,
215,"ООО ""Газпром межрегионгаз Пенза""",5834019424,OU122,,,
216,"ООО ""Газпром межрегионгаз Пермь""",5948022406,OU178,,,
217,"ООО ""Газпром межрегионгаз Псков""",6027059228,OU011,,,
218,"ООО ""Газпром межрегионгаз Пятигорск""",2632082700,OU201,,,
219,"ООО ""Газпром межрегионгаз Ростов-на-Дону""",6167049710,OU188,,,
220,"ООО ""Газпром межрегионгаз Рязань""",6231044292,OU109,,,
221,"ООО ""Газпром межрегионгаз Самара""",6310000026,OU034,,,
222,"ООО ""Газпром межрегионгаз Санкт-Петербург""",7838056212,OU184,,,
223,"ООО ""Газпром межрегионгаз Саранск""",1300003220,OU163,,,
224,"ООО ""Газпром межрегионгаз Саратов""",6450068585,OU145,,,
225,"ООО ""Газпром межрегионгаз Север""",7838042298,OU150,,,
226,"ООО ""Газпром межрегионгаз Смоленск""",6731035426,OU093,,,
227,"ООО ""Газпром межрегионгаз Ставрополь""",2635048440,OU053,,,
228,"ООО ""Газпром межрегионгаз Тамбов""",6831020409,OU078,,,
229,"ООО ""Газпром межрегионгаз Тверь""",6905062685,OU110,,,
230,"ООО ""Газпром межрегионгаз Тула""",7107049989,OU121,,,
231,"ООО ""Газпром межрегионгаз Ульяновск""",7303026219,OU160,,,
232,"ООО ""Газпром межрегионгаз Уфа""",276046524,OU032,,,
233,"ООО ""Газпром межрегионгаз Ухта""",1102025359,OU132,,,
234,"ООО ""Газпром межрегионгаз Чебоксары""",2126003807,OU062,,,
235,"ООО ""Газпром межрегионгаз Черкесск""",917030800,OU113,,,
236,"ООО ""Газпром межрегионгаз Ярославль""",7604049153,OU172,,,
237,"ООО ""Газпром сера""","""",OU234,,,
238,"ООО ""Газпром сжиженный газ""",1660033036,OU293,,,
239,"ООО ""Газпром теплоэнерго Волгоград""",3445052104,OU009,,,
240,"ООО ""Газпром теплоэнерго Вологда""",3523011161,OU294,,,
241,"ООО ""Газпром теплоэнерго Воронеж""",3663046559,OU098,,,
242,"ООО ""Газпром теплоэнерго Иваново""",3702008951,OU101,,,
243,"ООО ""Газпром теплоэнерго Казань""",1655317579,OU027,,,
244,"ООО ""Газпром теплоэнерго Киров""",4345268905,OU128,,,
245,"ООО ""Газпром теплоэнерго Кисловодск""",2628057299,OU177,,,
246,"ООО ""Газпром теплоэнерго Краснодар""",2308206128,OU019,,,
247,"ООО ""Газпром теплоэнерго МО""",5007101649,OU072,,,
248,"ООО ""Газпром теплоэнерго Орел""",5720997878,OU168,,,
249,"ООО ""Газпром теплоэнерго Архангельск""",2901252021,OU292,,,
250,"ООО ""Газпром теплоэнерго Псков""",6027069804,OU059,,,
251,"ООО ""Газпром теплоэнерго Северо-Запад""",7839108015,OU068,,,
252,"ООО ""Газпром теплоэнерго Тверь""",6905077949,OU023,,,
253,"ООО ""Газпром теплоэнерго Ярославль""",7603060690,OU116,,,
254,"ООО ""Газремонт""",1101047208,OU203,,,
255,"ООО ""Газэнергоинформ""","""",OU035,,,
256,"ООО ""Газэнергосеть Белгород""","""",OU227,,,
257,"ООО ""Газэнергосеть Дальний Восток""",,OU211,,,
258,"ООО ""Газэнергосеть Киров""",,OU245,,,
259,"ООО ""Газэнергосеть Оренбург""",,OU220,,,
260,"ООО ""Газэнергосеть ресурс""",,OU231,,,
261,"ООО ""Газэнергосеть Санкт-Петербург""",,OU244,,,
262,"ООО ""Газэнергосеть Сургут""",,OU219,,,
263,"ООО ""ГЭС Тамбов""",,OU248,,,
264,"ООО ""Газэнергосеть Хабаровск""",,OU210,,,
265,"ООО ""Гелий Оренбург""",,OU236,,,
266,"ООО ""ГЭС Брянск""",,OU229,,,
267,"ООО ""Ижстройгаз""",1833024791,OU144,,,
268,"ООО ""Костромаоблгаз""",4401024750,OU290,,,
269,"ООО ""Костромской торговый дом Ресурс-МРГ""",4401016855,OU084,,,
270,"ООО ""ЛОГазинвест""","""",OU221,,,
271,"ООО ""Нерехтахлебопродукт""",4405005195,OU103,,,
272,"ООО ""Нижегородтеплогаз""",5262068407,OU133,,,
273,"ООО ""НижегородЭнергоГазРасчет""",5260098565,OU207,,,
274,"ООО ""Облгазсервис""",6230037670,OU202,,,
275,"ООО ""ПетербургГаз""","""",OU242,,,ooo_pietierburghgaz
276,"ООО ""Петербургтеплоэнерго""",7838024362,OU117,,,
277,"ООО ""Регионгазинвест""","""",OU126,,,
278,"ООО ""Ростгаз""","""",OU238,,,
279,"ООО ""Сарапултеплоэнерго""",1827019419,OU194,,,
280,"ООО ""Удмуртские газовые сети""",1808207086,OU099,,,
281,"ООО ""Центрэнергобаланс""",7728265661,OU232,,,
282,"ООО ""Челгаз-Промэксплуатация""",7450033175,OU067,,,
283,"ПАО ""Газпром газораспределение Нижний Новгород""",5200000102,OU080,,,pao_gazprom_ghazoraspriedielieniie_nizhnii_novghorod
284,"ПАО ""Газпром газораспределение Ростов-на-Дону""",6163000368,OU149,,,pao_gazprom_ghazoraspriedielieniie_rostov-na-donu
285,"АО ""Газпром газораспределение Уфа""",278030985,OU031,,,pao_gazprom_ghazoraspriedielieniie_ufa
286,"ПАО ""Газ-сервис""",,OU428,,,
287,"АО ""Тюменоблгаз""","""",OU200,,,
288,"ООО ""Акситех""",,CU001,,,
289,"АО ""Шадринскмежрайгаз""",,OU302,,,
290,"АО ""Курганоблгаз""",,OU298,,,
291,"ООО ""Газпром теплоэнерго Плесецк""",,OU301,,,
292,"ООО ""АБР Регион""",7703758344,CU003,,,
293,"ООО ""АБР Технологии""",9701125798,CU002,,,
294,"ООО ""Петербургрегионгаз-Спорт""",,OU303,,,
295,"АО ""Газраспредсеть""",7727580438,OU300,,,
296,"ООО ""Газпром газификация""",,OU299,,,iedinyi_opierator_ghazifikatsii
298,"ОАО ""Алтайкрайгазсервис""",,OU300,,,
299,АО ""Кузнецкмежрайгаз""",,,,,
300,"ООО ""УГС""",,,,,
301,"АО ""Алагиррайгаз""",,,,,
303,"АО ""Ардонмежрайгаз""",,,,,
304,"АО ""Армавиргоргаз""",,,,,
305,"АО ""Бесланрайгаз""",,,,,
307,"АО ""Владикавказгоргаз""",,,,,
308,"АО ""ГРС""",,,,,
309,"АО ""КМСГ""",,,,,
310,"АО ""ККРСГК""",,,,,
311,"АО ""МГК""",,,,,
312,"АО ""Моздокрайгаз""",,,,,
313,"АО ""Октябрьрайгаз""",,,,,
314,"АО ""Оптима""",,,,,
315,"ООО ""П-Инвест""",,,,,
316,"ООО ""ВРГ""",,,,,
317,"ООО ""Севергаз""",,,,,
318,"ООО ""Краснодар Газ-Сервис""",,,,,
319,"ООО ""ТД ОАО ""Томскоблгаз""""",,,,,
320,"ООО ""Газпром гелий сервис""",,OU315,,,
321,"ООО ""ЭТП ГПБ""",7724514910,OU316,,,
322,"""Газораспределительные сети""",,,,,gazoraspriedielitielnyie_sieti
323,"""Газэнергосервис""",,,,,gazeniergosiervis
324,"АО ""Алроса-Газ""",,,,,oao_alrosa-gaz
325,"АО ""Березовогаз""",,,,,ao_bieriezovoghaz
326,"АО ""Газпромбанк""",,,,,gazprombank
327,"АО ""Газэкс""",,,,,ao_gazeks
328,"АО ""Екатеринбурггаз""",,,,,ao_iekatierinburghghaz
329,"АО ""Интер РАО-Электрогенерация""",,,,,ao_intier_rao-eliektroghienieratsiia
330,"АО ""Казанское моторостроительное производственное объединение""",,,,,ao_kazanskoie_motorostroitielnoie_proizvodstviennoie_obiedinieniie
331,"АО ""Калининградгазификация""",,,,,oao_po_ghazifikatsii_i_ekspluatatsii_ghazovogho_khoziaistva_kalininghradghazifikatsiia
332,"АО ""Когалымгоргаз""",,,,,ao_koghalymghorghaz
333,"АО ""Краснодаргоргаз""",,,,,oao_krasnodarghorghaz
334,"АО ""Кропоткинский завод железобетонных изделий""",,,,,ao_kropotkinskii_zavod_zhieliezobietonnykh_izdielii
335,"АО ""Кузнецкмежрайгаз""",,,,,oao_kuznietskmiezhraighaz
336,"АО ""Мосгаз""",,,,,oao_mosghaz
337,"АО ""Мособлгаз""",,,,,mosoblgas
338,"АО ""Мурманоблгаз""",,,,,murmanoblgaz
339,"АО ""Надыммежрайгаз""",,,,,ao_nadymmiezhraighaz
340,"АО ""Невинномысскгоргаз""",,,,,ao_nievinnomysskgorgaz
341,"АО ""Нефтеюганскгаз""",,,,,oao_nieftieiughanskghaz
342,"АО ""Новороссийскгоргаз""",,,,,ao_novorossiiskghorghaz
343,"АО ""Новосибирский завод искусственного волокна""",,,,,ao_novosibirskii_zavod_iskusstviennogho_volokna
344,"АО ""Новосибирский механический завод ""ИСКРА""",,,,,ao_novosibirskii_miekhanichieskii_zavod_iskra
345,"АО ""Новосибирскоблгаз""",,,,,novosibirskoblgaz
346,"АО ""Ново-Уренгоймежрайгаз""",,,,,ao_novo-uriengoimiezhraigaz
347,"АО ""Норильсктрансгаз""",,,,,ao_norilsktransghaz
348,"АО ""Омскгазстройэксплуатация""",,,,,oao_omskghazstroiekspluatatsiia
349,"АО ""Омскгоргаз""",,,,,oao_omskghorghaz
350,"АО ""Омскоблгаз""",,,,,omskoblgaz
351,"АО ""Павловскаярайгаз""",,,,,oao_pavlovskaiaraighaz
352,"АО ""Предприятие ""Усть-Лабинскрайгаз""",,,,,aktsioniernoie_obshchiestvo_priedpriiatiie_ust-labinskraigaz
353,"АО ""Регионгаз-инвест""",,,,,ao_rieghionghaz-inviest
354,"АО ""Саровская Газоснабжающая Компания""",,,,,ao_sarovskaia_gazosnabzhaiushchaia_kompaniia
355,"АО ""Сахалинская Нефтяная Компания""",,,,,ao_sakhalinskaia_nieftianaia_kompaniia
356,"АО ""Сахатранснефтегаз""",,,,,oao_sakhatransnieftieghaz
357,"АО ""Трансэнерго""",,,,,ao_transeniergho
358,"АО ""Управление по строительству газопроводов и газификации""",,,,,ao_upravlieniie_po_stroitielstvu_ghazoprovodov_i_ghazifikatsii
359,"АО ""Управляющая компания ""Промышленно-логистический парк""",,,,,ao_upravliaiushchaia_kompaniia_promyshlienno-logistichieskii_park
360,"АО ""Шаимгаз""",,,,,aktsioniernoie_obshchiestvo_shaimgaz
361,"АО ""Ямалкоммунэнерго""",,,,,oao_iamalkommuneniergho
362,"АОР ""НП ""Жуковмежрайгаз""",,,,,zao_rabotnikov_narodnoie_priedpriiatiie_zhukovmiezhraighaz
363,"ГКУ ""Центр цифровой трансформации республики Татарстан""",,,,,gosudarstviennoie_kaziennoie_uchriezhdieniie_tsientr_tsifrovoi_transformatsii_riespubliki_tatarstan
364,"ГУП Воронежской области ""Облкоммунсервис""",,,,,gup_voroniezhskoi_oblasti_oblkommunsiervis
